iter	RMSE
0	13.7611269
1	13.30519749
2	12.87578256
3	12.46814312
4	12.08414558
5	11.70280535
6	11.35469524
7	11.0259296
8	10.72186428
9	10.42328558
10	10.15033468
11	9.89850875
12	9.679039744
13	9.457423899
14	9.247501696
15	9.051665887
16	8.877601162
17	8.701210629
18	8.532981803
19	8.380137149
20	8.23208319
21	8.09561974
22	7.972111013
23	7.855034597
24	7.744174923
25	7.643150158
26	7.552929378
27	7.465640776
28	7.378536604
29	7.294822438
30	7.222451058
31	7.151271903
32	7.092169601
33	7.034512894
34	6.977961847
35	6.921702704
36	6.869713756
37	6.822991086
38	6.768670158
39	6.720934901
40	6.678147005
41	6.63685999
42	6.602528312
43	6.569211165
44	6.529756979
45	6.500848953
46	6.464238846
47	6.434842425
48	6.408994406
49	6.384856214
50	6.360163502
51	6.339022917
52	6.318012556
53	6.297735139
54	6.275662476
55	6.251051581
56	6.229579305
57	6.205489488
58	6.183808894
59	6.163328286
60	6.142810583
61	6.123049667
62	6.102118645
63	6.079172735
64	6.055771436
65	6.033196808
66	6.019220137
67	6.003586514
68	5.987532919
69	5.976278947
70	5.962410945
71	5.95023915
72	5.937913251
73	5.924218979
74	5.906832424
75	5.897224862
76	5.883815631
77	5.871420857
78	5.859067427
79	5.846457549
80	5.836558245
81	5.826792752
82	5.817994103
83	5.807976861
84	5.792052716
85	5.781697315
86	5.767798341
87	5.757905535
88	5.745337638
89	5.733319695
90	5.72276205
91	5.711321996
92	5.699179373
93	5.689502041
94	5.674939286
95	5.66806987
96	5.657456664
97	5.65012064
98	5.639094896
99	5.627259398
100	5.616290169
101	5.604875939
102	5.59131098
103	5.583187578
104	5.575674851
105	5.562273736
106	5.553830669
107	5.544370987
108	5.535831737
109	5.526426811
110	5.516302618
111	5.505169934
112	5.498318379
113	5.486487737
114	5.480728419
115	5.473327485
116	5.466117064
117	5.460379641
118	5.455281003
119	5.449350915
120	5.443667744
121	5.43909098
122	5.427588933
123	5.421492277
124	5.414769483
125	5.408954154
126	5.398422245
127	5.388683264
128	5.381347866
129	5.372451576
130	5.365602613
131	5.362574923
132	5.354225193
133	5.349369166
134	5.342066111
135	5.335296023
136	5.328709137
137	5.324541605
138	5.320005673
139	5.313988564
140	5.306195826
141	5.29788664
142	5.29371676
143	5.286895793
144	5.279335835
145	5.272121991
146	5.265299797
147	5.257238129
148	5.248430919
149	5.240716316
150	5.23482495
151	5.230515342
152	5.223430283
153	5.216304775
154	5.209558212
155	5.202221935
156	5.194882506
157	5.187595652
158	5.180377525
159	5.174966374
160	5.166958324
161	5.158771206
162	5.154077545
163	5.146652518
164	5.142296238
165	5.136898644
166	5.132470587
167	5.128808101
168	5.123105352
169	5.115502126
170	5.111687521
171	5.106730761
172	5.100843541
173	5.095222375
174	5.091398375
175	5.084310898
176	5.077279622
177	5.068996094
178	5.063684245
179	5.057005295
180	5.05103638
181	5.046842556
182	5.039957907
183	5.034673975
184	5.029606113
185	5.021866831
186	5.015251023
187	5.010643185
188	5.005078432
189	4.996391918
190	4.990179322
191	4.983614493
192	4.978397069
193	4.971042196
194	4.962880334
195	4.95869668
196	4.954269891
197	4.945570664
198	4.941106593
199	4.935770619
200	4.930053777
201	4.922578266
202	4.918512377
203	4.913195602
204	4.908033418
205	4.902230622
206	4.894886922
207	4.888635225
208	4.88250181
209	4.876537959
210	4.869821203
211	4.864324224
212	4.85688721
213	4.848825583
214	4.843092963
215	4.83725102
216	4.830308969
217	4.825473095
218	4.819557869
219	4.813249318
220	4.807311025
221	4.802141121
222	4.798823962
223	4.792108361
224	4.785934117
225	4.781116367
226	4.776615833
227	4.768374688
228	4.763507894
229	4.757685127
230	4.750429555
231	4.743343937
232	4.738739269
233	4.733190486
234	4.725351506
235	4.720217803
236	4.713695129
237	4.70607559
238	4.700949038
239	4.696693734
240	4.690542257
241	4.686839356
242	4.681065453
243	4.675738879
244	4.670111994
245	4.665619005
246	4.660720404
247	4.655186837
248	4.647432126
249	4.640342836
250	4.63550035
251	4.63192338
252	4.627922142
253	4.62340203
254	4.618219834
255	4.614231874
256	4.60329237
257	4.597418525
258	4.594663634
259	4.590422599
260	4.584252319
261	4.57951449
262	4.575051052
263	4.570563106
264	4.565596734
265	4.561823997
266	4.555315546
267	4.549588201
268	4.544651902
269	4.540174844
270	4.530698369
271	4.525325342
272	4.520620288
273	4.512884189
274	4.509336079
275	4.503400265
276	4.500026561
277	4.496020002
278	4.490986963
279	4.485388936
280	4.479793512
281	4.474447501
282	4.46958788
283	4.466603351
284	4.462482358
285	4.457000929
286	4.453943103
287	4.447648896
288	4.44420682
289	4.439051326
290	4.436843057
291	4.430498557
292	4.425906617
293	4.420805797
294	4.417131751
295	4.411354949
296	4.404148992
297	4.399758833
298	4.394320778
299	4.389045384
300	4.385016503
301	4.379067705
302	4.37555495
