iter	Passed	Remaining
0	18	18537
1	36	18042
2	51	17277
3	68	17072
4	87	17378
5	103	17111
6	119	16914
7	134	16660
8	149	16444
9	165	16421
10	181	16275
11	196	16173
12	211	16026
13	226	15921
14	240	15816
15	256	15747
16	270	15667
17	286	15611
18	300	15522
19	315	15441
20	330	15390
21	344	15299
22	359	15253
23	374	15228
24	388	15151
25	402	15092
26	417	15041
27	431	14975
28	453	15187
29	472	15278
30	488	15266
31	504	15258
32	520	15245
33	538	15305
34	556	15352
35	577	15474
36	604	15729
37	624	15809
38	640	15793
39	658	15798
40	676	15816
41	693	15817
42	710	15805
43	726	15792
44	743	15775
45	758	15720
46	774	15700
47	790	15677
48	817	15869
49	832	15824
50	848	15794
51	864	15753
52	879	15706
53	893	15645
54	907	15596
55	922	15545
56	937	15515
57	963	15643
58	978	15612
59	993	15561
60	1008	15525
61	1023	15481
62	1038	15445
63	1064	15574
64	1088	15656
65	1115	15788
66	1142	15912
67	1182	16213
68	1208	16310
69	1227	16312
70	1246	16308
71	1266	16325
72	1287	16345
73	1307	16359
74	1327	16374
75	1347	16376
76	1392	16686
77	1412	16694
78	1432	16698
79	1458	16769
80	1479	16789
81	1504	16847
82	1526	16865
83	1546	16860
84	1566	16866
85	1586	16864
86	1608	16880
87	1628	16874
88	1649	16888
89	1677	16965
90	1711	17098
91	1733	17110
92	1753	17104
93	1778	17145
94	1799	17138
95	1820	17142
96	1843	17162
97	1869	17202
98	1889	17198
99	1909	17183
100	1926	17150
101	1954	17207
102	1973	17186
103	1992	17170
104	2010	17141
105	2028	17110
106	2047	17086
107	2067	17072
108	2086	17059
109	2106	17040
110	2123	17006
111	2152	17063
112	2172	17053
113	2192	17040
114	2213	17033
115	2234	17030
116	2257	17037
117	2282	17057
118	2303	17055
119	2323	17041
120	2342	17020
121	2360	16990
122	2380	16970
123	2398	16944
124	2416	16916
125	2434	16885
126	2453	16868
127	2473	16850
128	2493	16838
129	2512	16816
130	2530	16789
131	2546	16747
132	2565	16726
133	2583	16695
134	2603	16680
135	2620	16649
136	2637	16614
137	2655	16589
138	2675	16572
139	2698	16579
140	2716	16550
141	2734	16525
142	2755	16511
143	2773	16486
144	2791	16461
145	2810	16438
146	2828	16411
147	2846	16387
148	2863	16352
149	2885	16353
150	2905	16335
151	2923	16308
152	2941	16282
153	2959	16260
154	2978	16238
155	3000	16231
156	3019	16210
157	3036	16182
158	3053	16152
159	3073	16134
160	3090	16103
161	3108	16078
162	3126	16053
163	3144	16031
164	3166	16022
165	3186	16009
166	3205	15989
167	3223	15965
168	3243	15946
169	3260	15917
170	3278	15896
171	3296	15866
172	3320	15871
173	3347	15893
174	3371	15896
175	3400	15919
176	3424	15921
177	3446	15916
178	3467	15901
179	3486	15883
180	3505	15861
181	3524	15842
182	3543	15818
183	3560	15791
184	3578	15764
185	3596	15738
186	3614	15712
187	3634	15698
188	3652	15672
189	3670	15649
190	3691	15634
191	3711	15620
192	3729	15594
193	3749	15578
194	3769	15559
195	3787	15538
196	3803	15503
197	3822	15482
198	3839	15455
199	3857	15430
200	3905	15525
201	3923	15499
